indice
56.45
57.02
57.46
57.72
57.95
58.18
58.21
58.21
58.46
58.6
58.66
58.7
59.02
59.41
59.83
60.09
60.29
60.48
60.73
60.96
61.14
61.05
61.19
61.33
61.8
62.53
63.29
63.85
64.05
64.12
64.23
64.14
64.2
64.2
64.51
64.82
65.51
66.5
67.04
67.51
68.14
68.73
69.06
69.19
69.06
69.3
69.49
69.8
70.21
70.8
71.15
71.38
71.39
71.35
71.32
71.35
71.28
71.19
71.14
71.2
71.69
72.28
72.46
72.79
72.87
72.95
72.92
73,00
72.9
72.84
72.98
73.45
74.12
74.57
74.77
74.86
75.07
75.31
75.42
75.39
75.62
75.77
75.87
76.19
76.75
77.22
77.31
77.42
77.66
77.72
77.7
77.73
77.96
78.08
77.98
78.05
78.28
78.63
78.79
78.99
79.21
79.39
79.43
79.5
79.73
79.52
79.35
79.56
79.95
80.45
80.77
81.14
81.53
81.61
81.73
81.9
82.01
82.14
82.25
82.47
83,00
83.96
84.45
84.9
85.12
85.21
85.37
85.78
86.39
86.98
87.51
88.05
89.19
90.33
91.18
91.63
92.1
92.54
93.02
92.73
92.68
92.62
92.73
93.11
94.07
95.01
95.46
95.91
96.12
96.23
96.18
96.32
96.36
96.37
96.55
96.92
97.53
98.22
98.45
98.91
99.16
99.31
99.18
99.3
99.47
99.59
99.7
100,00
100.6
101.18
101.62
102.12
102.44
102.71
102.94
103.03
103.26
103.43
103.54
103.8
104.24
104.94
105.53
105.7
105.36
104.97
104.97
104.96
105.29
105.23
105.08
105.48
105.91
106.58
107.12
107.76
108.84
108.78
109.14
109.62
110.04
110.06
110.6
111.41
113.26
115.11
116.26
117.71









































































































































































































































































































































































































































































































































































































































